De,Para,R_pu,X_pu,Bsh/2_pu,Tap
1,2,0.019379999999999998,0.05917,0.0264,1.0
1,5,0.054029999999999995,0.22304,0.0246,1.0
2,3,0.04699,0.19797,0.0219,1.0
2,4,0.05811,0.17632,0.0187,1.0
2,5,0.05695,0.17388,0.017,1.0
3,4,0.06701,0.17103000000000002,0.0173,1.0
4,5,0.013349999999999999,0.04211,0.0064,1.0
4,7,0.0,0.20912,0.0,1.0224948875255624
4,9,0.0,0.55618,0.0,1.0319917440660475
5,6,0.0,0.25202,0.0,1.0729613733905579
6,11,0.09498,0.1989,0.0,1.0
6,12,0.12291,0.25581,0.0,1.0
6,13,0.06615,0.13027,0.0,1.0
7,8,0.0,0.17614999999999997,0.0,1.0
7,9,0.0,0.11001,0.0,1.0
9,10,0.03181,0.08449999999999999,0.0,1.0
9,14,0.12711,0.27038,0.0,1.0
10,11,0.08205,0.19207000000000002,0.0,1.0
12,13,0.22091999999999998,0.19988,0.0,1.0
13,14,0.17093,0.34802,0.0,1.0
